sample_id,dataset,organism_ch1,source_name_ch1,disease,health_state,brain_region,tissue,sex,age,disease_status
GSM1443512,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443513,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443514,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443515,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443516,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443518,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443519,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443520,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443521,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443522,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443523,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443524,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443525,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443526,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443527,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443528,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443529,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443531,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443532,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443533,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443534,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443535,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443536,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443537,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443538,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443539,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443540,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443541,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443543,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443544,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443545,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443546,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443547,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443548,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443549,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443550,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443551,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443552,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443553,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443555,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443556,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443557,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443558,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443559,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443560,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
